CustomerID,Age,Gender,Income,PurchaseAmount,PurchaseFrequency
C001,22,Female,25000,3000,2
C002,35,Male,60000,15000,6
C003,28,Female,45000,8000,4
C004,42,Male,85000,25000,9
C005,31,Female,52000,12000,5
C006,25,Male,30000,5000,3
C007,48,Female,95000,30000,10
C008,37,Male,70000,18000,7
C009,29,Female,48000,9000,4
C010,55,Male,110000,40000,12
C011,24,Female,28000,4000,2
C012,40,Male,78000,22000,8
C013,33,Female,55000,13000,5
C014,27,Male,35000,6000,3
C015,50,Female,100000,35000,11
C016,38,Male,72000,19000,7
C017,26,Female,32000,5500,3
C018,45,Male,90000,28000,9
C019,30,Female,50000,10000,4
C020,60,Male,120000,45000,13
C021,23,Female,26000,3500,2
C022,36,Male,65000,16000,6
C023,32,Female,53000,12500,5
C024,41,Male,82000,24000,8
C025,29,Female,47000,8500,4
C026,54,Male,105000,38000,11
C027,34,Female,58000,14000,5
C028,28,Male,40000,7000,3
C029,47,Female,92000,29000,10
C030,39,Male,75000,20000,7
C031,21,Female,24000,2800,1
C032,43,Male,87000,26000,9
C033,30,Female,51000,10500,4
C034,26,Male,33000,5200,3
C035,52,Female,98000,33000,10
C036,37,Male,69000,17500,6
C037,27,Female,39000,6800,3
C038,44,Male,89000,27000,9
C039,31,Female,54000,11500,5
C040,58,Male,115000,42000,12
C041,25,Female,31000,4800,2
C042,46,Male,91000,28500,9
C043,33,Female,56000,13500,5
C044,29,Male,42000,7500,3
C045,49,Female,96000,31000,10
C046,38,Male,71000,18500,7
C047,24,Female,27000,3700,2
C048,53,Male,102000,36000,11
C049,35,Female,62000,15500,6
C050,57,Male,112000,41000,12
